=== d=16 ===
Loading radix trie: /tmp/agpt_input_d16_radix
  radix_count: 1607928
  depth_file_count: 17
  total_edge_chars: 9313896
  vocab_size: 65
  corpus_token_count: 1115394

Endpoint-depth profile:
  depth  n_nodes       total_count  median_count  mean_count    max_count   %singletons  %multi  avg_branch_factor
      1         62        1114756          6187    17979.94      169892        0.00%  100.00%  22.58
      2       1139        1102212           181      967.70       27643        0.00%  100.00%  9.91
      3       7624        1059288            26      138.94       16032        0.00%  100.00%  6.14
      4      25187         968778             9       38.46        8684        0.00%  100.00%  4.59
      5      51508         843633             5       16.38        5261        0.00%  100.00%  3.76
      6      71524         688620             4        9.63        1737        0.00%  100.00%  3.29
      7      78836         533327             3        6.77         684        0.00%  100.00%  3.06
      8      75929         392427             3        5.17         337        0.00%  100.00%  2.85
      9      64226         272419             3        4.24         236        0.00%  100.00%  2.69
     10      49624         184421             2        3.72         236        0.00%  100.00%  2.58
     11      36324         122720             2        3.38         236        0.00%  100.00%  2.49
     12      25759          81383             2        3.16         236        0.00%  100.00%  2.42
     13      17832          54675             2        3.07         236        0.00%  100.00%  2.38
     14      12554          37716             2        3.00         236        0.00%  100.00%  2.35
     15       8738          26086             2        2.99         236        0.00%  100.00%  2.33
     16    1081061        1115378             1        1.03         236       99.43%   0.57%  1.01
